,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species
Otu9059,0.99814646,Bacteria,,,,,,
Otu9060,0.996647299,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,uncultured Pasteuria sp.
Otu9061,0.908311632,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,
Otu9062,0.999905457,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. RM579
Otu9063,0.907155817,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu9064,0.887168496,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
Otu9065,0.99887823,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,uncultured bacterium,,
Otu9066,0.947200707,Bacteria,Proteobacteria,Deltaproteobacteria,PB19,uncultured bacterium,,
Otu9067,0.777087696,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),11-24,uncultured bacterium,,
Otu9068,0.896909667,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured proteobacterium
Otu9069,0.996421375,Bacteria,,,,,,
Otu9070,0.999800769,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,metagenome
Otu9071,0.760482587,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,Raoultibacter,uncultured bacterium
Otu9072,0.999999998,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes VC2.1 Bac22,metagenome,,
Otu9073,0.767729332,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Jahnella,Jahnella thaxteri
Otu9074,0.765191528,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu9075,0.961888273,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium,
Otu9076,0.806024667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,uncultured,
Otu9077,0.999959724,Bacteria,Patescibacteria,Parcubacteria,uncultured bacterium,,,
Otu9078,0.76098783,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,
Otu9079,0.999992148,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,
Otu9080,0.991882611,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu9081,0.911693909,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,,
Otu9082,0.972564665,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,,
Otu9083,0.914594623,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
Otu9084,0.71236433,Bacteria,Firmicutes,,,,,
Otu9085,0.996510193,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,
Otu9086,0.875231996,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Bacillus sp.
Otu9087,0.823723919,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,
Otu9088,0.854172977,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu9089,0.995699013,Bacteria,Chloroflexi,Chloroflexia,Elev-1554,uncultured bacterium,,
Otu9090,0.999950248,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu9091,0.999999998,Bacteria,,,,,,
Otu9092,0.999993847,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9093,0.998404076,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
Otu9094,0.958093226,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured bacterium,,
Otu9095,0.999970098,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,
Otu9096,0.999935655,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
Otu9097,0.999995989,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,uncultured bacterium
Otu9099,0.827939763,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,uncultured bacterium
Otu9100,0.974264228,Bacteria,,,,,,
Otu9101,0.754402241,Bacteria,Patescibacteria,Parcubacteria,Candidatus Moranbacteria,uncultured bacterium,,
Otu9102,0.786604606,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured bacterium
Otu9103,0.999999999,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,
Otu9104,0.999753721,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
Otu9105,0.885850434,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiaceae,metagenome,
Otu9106,0.78982595,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,
Otu9107,0.707213636,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans,
Otu9108,0.999999614,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,
Otu9109,0.993754818,Bacteria,,,,,,
Otu9110,0.999961323,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Ambiguous_taxa
Otu9111,0.999368185,Bacteria,,,,,,
Otu9112,0.775130228,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,Ambiguous_taxa,
Otu9113,0.993340479,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu9114,0.893548499,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea,uncultured bacterium
Otu9115,0.766370367,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,
Otu9116,0.999068565,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,,
Otu9117,0.99999299,Bacteria,Patescibacteria,WWE3,uncultured bacterium,,,
Otu9118,0.718231979,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria Incertae Sedis,Unknown Family,CENA518,
Otu9119,0.998614456,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9121,0.896210645,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured bacterium,
Otu9122,0.999980555,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9123,0.795143311,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix eikelboomii
Otu9124,0.999988396,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
Otu9125,0.999996151,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,uncultured Phycisphaeraceae bacterium
Otu9126,0.985729722,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu9127,0.99999998,Bacteria,,,,,,
Otu9128,0.722407639,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,uncultured bacterium
Otu9129,0.899526317,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
Otu9130,0.9689947,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Pajaroellobacter,uncultured bacterium
Otu9131,0.981391099,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured bacterium,,
Otu9132,0.877064444,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu9133,0.740691517,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,
Otu9134,0.999926751,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,uncultured,candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_53_14
Otu9135,0.99999848,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,uncultured soil bacterium
Otu9136,0.860120304,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
Otu9137,0.964948033,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu9138,0.78931625,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9139,0.94381822,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu9140,0.734664599,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9141,0.767977303,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu9142,0.972806128,Bacteria,Proteobacteria,Gammaproteobacteria,JG36-GS-52,uncultured bacterium,,
Otu9143,0.999999782,Bacteria,Planctomycetes,BD7-11,uncultured bacterium,,,
Otu9144,0.794259191,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu9145,0.857437912,Bacteria,Planctomycetes,BD7-11,uncultured Planctomycetales bacterium,,,
Otu9146,0.992191845,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
Otu9147,0.795014776,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,
Otu9148,0.932081589,Bacteria,Chloroflexi,Ktedonobacteria,B12-WMSP1,uncultured bacterium,,
Otu9149,0.996804492,Bacteria,,,,,,
Otu9150,0.996713692,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,HdN1,gamma proteobacterium HdN1
Otu9151,0.892051963,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu9152,0.990375135,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,uncultured bacterium
Otu9153,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu9154,0.989199992,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Singulisphaera,
Otu9155,0.925527328,Bacteria,FBP,uncultured bacterium,,,,
Otu9156,0.999999714,Bacteria,Acidobacteria,Subgroup 25,,,,
Otu9157,0.981634719,Bacteria,,,,,,
Otu9158,0.738129364,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Silvanigrella,bacterium GLA1
Otu9159,0.934632419,Bacteria,Proteobacteria,Deltaproteobacteria,,,,
Otu9160,0.732090198,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,
Otu9161,0.999301772,Bacteria,Elusimicrobia,Lineage IIc,uncultured bacterium,,,
Otu9162,0.856390486,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,
Otu9163,0.842681235,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,
Otu9164,0.738447844,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,,,
Otu9165,0.934523148,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
Otu9166,0.837866732,Bacteria,FCPU426,metagenome,,,,
Otu9167,0.998370128,Bacteria,,,,,,
Otu9168,0.999405727,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,
Otu9169,0.999997738,Bacteria,,,,,,
Otu9170,0.743198666,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9171,0.954590984,Bacteria,Chloroflexi,Chloroflexia,Elev-1554,uncultured bacterium,,
Otu9172,0.769644677,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
Otu9173,0.997958231,Bacteria,,,,,,
Otu9174,0.937378142,Bacteria,FBP,uncultured bacterium,,,,
Otu9175,0.865948822,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
Otu9176,0.70607587,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu9177,0.981015801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,
Otu9178,0.704659571,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9179,0.991272059,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,
Otu9180,0.999557175,Bacteria,,,,,,
Otu9181,0.760863114,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Oligoflexus,metagenome
Otu9182,0.999661211,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,uncultured bacterium
Otu9183,0.999096982,Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,uncultured bacterium,,
Otu9184,0.979882588,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,wb1-P19,uncultured gamma proteobacterium
Otu9185,1,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
Otu9186,0.999997689,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
Otu9187,0.971495555,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured soil bacterium
Otu9188,0.754528757,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium
Otu9189,0.814426277,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,
Otu9190,0.999905912,Bacteria,,,,,,
Otu9191,0.999993336,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu9192,0.999999994,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu9193,0.922952431,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,
Otu9194,0.999718013,Bacteria,BRC1,uncultured bacterium,,,,
Otu9195,0.834845561,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,uncultured,
Otu9196,0.999183582,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,,,
Otu9197,0.997183927,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,uncultured bacterium,
Otu9198,0.866535659,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
Otu9199,0.996993354,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured bacterium,
Otu9200,0.999997937,Bacteria,Latescibacteria,uncultured proteobacterium,,,,
Otu9201,0.920576251,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,uncultured bacterium,
Otu9202,0.996654929,Bacteria,,,,,,
Otu9203,0.973990018,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu9204,0.710225462,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
Otu9205,0.9474017,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu9206,0.999974954,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu9207,0.757117004,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,metagenome
Otu9208,0.748641315,Bacteria,Planctomycetes,vadinHA49,bacterium UW 659-2-F09,,,
Otu9209,0.935399183,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9210,0.999959971,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,,,
Otu9211,0.95892354,Bacteria,Chloroflexi,OLB14,uncultured bacterium,,,
Otu9212,0.986230561,Bacteria,FBP,uncultured soil bacterium,,,,
Otu9213,0.998524152,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,actinobacterium BGR 88,,
Otu9214,0.747950579,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rubritepida,uncultured bacterium
Otu9215,0.999983465,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiaceae,uncultured Chlamydiales bacterium,
Otu9216,0.988585875,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,KD3-10,metagenome,
Otu9217,1,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
Otu9218,0.720567643,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,metagenome
Otu9219,0.93230137,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium
Otu9220,0.798541761,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,metagenome
Otu9221,0.999999998,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,,
Otu9222,0.839125525,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
Otu9223,0.999797717,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,uncultured bacterium
Otu9224,0.987992777,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,metagenome,
Otu9225,0.97921593,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured soil bacterium
Otu9226,0.993276604,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,
Otu9227,0.983170853,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
Otu9228,0.942823196,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,Ambiguous_taxa,
Otu9229,0.995873442,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,
Otu9230,0.999996788,Bacteria,,,,,,
Otu9231,0.910997615,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,metagenome
Otu9232,0.995117036,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,uncultured bacterium,
Otu9233,0.899303884,Bacteria,Patescibacteria,Parcubacteria,uncultured bacterium,,,
Otu9234,0.743185709,Bacteria,Proteobacteria,,,,,
Otu9235,0.814053282,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium
Otu9236,0.893856684,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,
Otu9237,0.999999763,Bacteria,Elusimicrobia,Lineage IIb,,,,
Otu9238,0.978826215,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,uncultured bacterium
Otu9239,0.775844957,Bacteria,Proteobacteria,,,,,
Otu9240,0.999957039,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,VHS-B3-70,uncultured bacterium,
Otu9241,0.999999151,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,
Otu9242,0.862503917,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,uncultured bacterium
Otu9243,0.999882366,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Phormidiaceae,uncultured,uncultured cyanobacterium
Otu9244,0.989176524,Bacteria,,,,,,
Otu9245,0.988649584,Bacteria,Chloroflexi,TK10,uncultured bacterium,,,
Otu9246,0.723882095,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flaviaesturariibacter,uncultured bacterium
Otu9247,0.999973195,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,,
Otu9248,0.972757817,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,
Otu9249,0.984746302,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,FFCH9454,uncultured bacterium,
Otu9250,0.815830198,Bacteria,Chloroflexi,SHA-26,uncultured bacterium,,,
Otu9251,0.999921238,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,,,
Otu9252,0.755202119,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
Otu9253,0.777206059,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu9254,0.999999241,Bacteria,Dependentiae,Babeliae,Babeliales,,,
Otu9255,0.768883571,Bacteria,FBP,uncultured soil bacterium,,,,
Otu9256,0.963258888,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,
Otu9257,0.997703662,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,
Otu9258,0.974539417,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu9259,0.969720952,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,uncultured bacterium
Otu9260,0.999945754,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
Otu9261,0.999342079,Bacteria,,,,,,
Otu9262,0.964598537,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9263,0.996360801,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu9264,0.960117948,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,metagenome
Otu9265,0.999077951,Bacteria,,,,,,
Otu9266,0.999868884,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,,
Otu9267,0.990535942,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,
Otu9268,0.999695352,Bacteria,,,,,,
Otu9269,0.994502841,Bacteria,Chloroflexi,JG30-KF-CM66,uncultured bacterium,,,
Otu9270,0.866936507,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,
Otu9271,0.938044805,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,Ambiguous_taxa
Otu9272,0.998322571,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu9273,0.977785319,Bacteria,Armatimonadetes,uncultured,uncultured bacterium,,,
Otu9274,0.866130184,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured soil bacterium,
Otu9275,0.833482154,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,uncultured bacterium
Otu9276,0.999853305,Bacteria,,,,,,
Otu9277,0.759734002,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,
Otu9278,0.930013484,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
Otu9279,0.999999992,Bacteria,Chloroflexi,TK10,,,,
Otu9280,0.904174699,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9281,0.987762371,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured Gemmatimonadetes bacterium,,
Otu9282,0.997521111,Bacteria,Acidobacteria,Subgroup 6,Unknown Order,Unknown Family,Luteitalea,
Otu9283,0.997404668,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,uncultured bacterium,,
Otu9284,0.989151579,Bacteria,,,,,,
Otu9285,0.973456942,Bacteria,,,,,,
Otu9286,0.999999654,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,
Otu9287,0.998911944,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
Otu9288,0.818559222,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,
Otu9289,0.85590329,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,uncultured Candidatus Dependentiae bacterium,
Otu9290,0.999987607,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,
Otu9291,0.939989644,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured bacterium,,
Otu9292,0.998759368,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,
Otu9293,0.999999973,Bacteria,Verrucomicrobia,Verrucomicrobiae,S-BQ2-57 soil group,uncultured bacterium,,
Otu9294,0.999974723,Bacteria,Firmicutes,,,,,
Otu9295,0.900183454,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured bacterium,
Otu9296,0.996762137,Bacteria,,,,,,
Otu9297,0.999999985,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu9298,0.975665799,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,,
Otu9299,0.999980792,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9300,0.999982066,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9301,0.999986901,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,
Otu9302,0.913480251,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,uncultured bacterium,
Otu9303,0.995703268,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,
Otu9304,0.999985585,Bacteria,Patescibacteria,Parcubacteria,Candidatus Jorgensenbacteria,Ambiguous_taxa,,
Otu9305,0.99997873,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu9306,0.937899898,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
Otu9307,0.997289918,Bacteria,Planctomycetes,Planctomycetacia,uncultured,uncultured bacterium,,
Otu9308,0.971154075,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
Otu9309,0.999941359,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,FFCH16767,uncultured bacterium,
Otu9310,0.99436964,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
Otu9311,0.874867339,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,uncultured bacterium
