,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X11_8S_N_C_0,B1,S08,2011,half,unwarming,0,0.5,1,Clipping,99.4,46.06,35.29,2.38,0.099,0.883,5.95,231.61,54.07,177.54,NA,6,7.1,8.682307692,13.3,55.01,-1.94791,19.45587956,3.61134984,6.065621888,2.454272048,1.883333333,1.505,3.388333333
X11_9N_N_N_2,B1,N09,2011,double,unwarming,0,2,0,unclipping,64.9,43.52,38.32,2.68,0.098,0.851,5.79,254,66,188,NA,4,6.73,7.723846154,13.3,55.01,-1.94791,18.81565754,5.095930934,7.717682803,2.621751869,0.823333333,2.068333333,2.891666667
X11_9S_N_C_2,B1,S09,2011,double,unwarming,0,2,1,Clipping,58.7,37.31,17.28,2.12,0.097,0.901,6.05,323.3,73.46,249.84,NA,7,6.43,7.985384615,13.3,55.01,-1.94791,18.080005,5.576774148,9.256041074,3.679266925,1.321666667,2.424166667,3.745833333
X12_10N_H_N_1,B2,N10,2012,normal,warming,1,1,0,unclipping,91.6,71.14,17.91,3.56,0.104,1.022,6.23,250,5,245,NA,5,4.55,7.325714286,0.5,70.24,-1.25625,22.93891098,3.120975133,3.805638698,0.684663566,1.803333333,0.949166667,2.7525
X12_10S_H_C_1,B2,S10,2012,normal,warming,1,1,1,Clipping,40.2,26.32,49.4,2.92,0.075,0.566,6.11,246.47,0,246.47,NA,4,4.15,7.204761905,0.5,70.24,-1.25625,21.95127323,3.424726374,5.423702878,1.998976504,1.436111111,1.440555556,2.876666667
X12_11N_N_N_0,B2,N11,2012,half,unwarming,0,0.5,0,unclipping,106.4,86.23,19.68,5.65,0.14,1.387,6.2,357,5,352,NA,5,4.15,7.85,0.5,70.24,-1.25625,20.39791026,2.653363776,3.290281502,0.636917726,1.79,1.406666667,3.196666667
X12_11S_N_C_0,B2,S11,2012,half,unwarming,0,0.5,1,Clipping,68.1,49.49,4.44,3.44,0.087,0.725,6.44,476.28,34.4,441.88,NA,4,4.5,7.300952381,0.5,70.24,-1.25625,19.18870996,4.040310047,4.968610895,0.928300848,2.128333333,1.455,3.583333333
X12_12N_N_N_2,B2,N12,2012,double,unwarming,0,2,0,unclipping,208.4,105.29,11.58,6.82,0.152,1.536,6.37,300,5,296,NA,4,5.6,9.430952381,0.5,70.24,-1.25625,18.48397215,3.881414599,5.124907416,1.243492817,1.565,1.280833333,2.845833333
X12_12S_N_C_2,B2,S12,2012,double,unwarming,0,2,1,Clipping,79.7,58.14,3.39,3.63,0.112,1.011,6.56,408.58,10.43,398.15,NA,4,5.25,9.279047619,0.5,70.24,-1.25625,13.43355609,3.250090851,5.841528677,2.591437826,2.744166667,1.033333333,3.7775
X12_13N_N_N_0,B3,N13,2012,half,unwarming,0,0.5,0,unclipping,101.1,69.77,24.36,4.76,0.128,1.326,6.34,295,5,290,NA,5,5.4,6.904761905,0.5,70.24,-1.25625,17.79150234,3.108928106,4.696327712,1.587399607,0.8825,1.55625,2.43875
X12_13S_N_C_0,B3,S13,2012,half,unwarming,0,0.5,1,Clipping,80.1,61.77,7.39,3.13,0.093,0.832,6.41,305.52,0,305.52,NA,4,4.65,6.928095238,0.5,70.24,-1.25625,17.949215,4.462636639,5.825567339,1.362930699,0.917916667,2.392083333,3.31
X12_14N_N_N_2,B3,N14,2012,double,unwarming,0,2,0,unclipping,75.4,55.97,5.73,6.49,0.169,1.777,6.16,419,5,414,NA,6,6.25,8.926190476,0.5,70.24,-1.25625,17.78495569,5.127550909,6.59688309,1.469332181,1.4275,1.555833333,2.983333333
X12_14S_N_C_2,B3,S14,2012,double,unwarming,0,2,1,Clipping,38.6,24.1,2.8,2.86,0.071,0.58,6.45,442.87,442.87,0,NA,4,6.5,9.704285714,0.5,70.24,-1.25625,22.50790337,3.729510234,5.07858801,1.349077776,2.173333333,1.684583333,3.857916667
X12_15N_H_N_0,B3,N15,2012,half,warming,1,0.5,0,unclipping,56.3,36.49,38.61,4.02,0.099,0.892,5.7,317,54,263,NA,4,4.5,7.44047619,0.5,70.24,-1.25625,20.29381495,2.488372789,2.608977012,0.120604223,1.342916667,1.019583333,2.3625
X12_15S_H_C_0,B3,S15,2012,half,warming,1,0.5,1,Clipping,64.5,44.72,21,3.36,0.114,1.037,6.12,211.28,23.47,187.81,NA,6,3.45,7.738095238,0.5,70.24,-1.25625,22.82658304,2.444811735,2.702485485,0.25767375,0.826666667,2.32875,3.155416667
X12_16N_H_N_1,B4,N16,2012,normal,warming,1,1,0,unclipping,66.8,42.24,19.38,4.84,0.15,1.481,6.01,170,5,165,NA,6,6.85,7.706666667,0.5,70.24,-1.25625,23.50613279,1.659778255,2.54508316,0.885304905,1.015833333,1.544166667,2.56
X12_16S_H_C_1,B4,S16,2012,normal,warming,1,1,1,Clipping,76.1,45.01,21.85,2.82,0.076,0.626,6.15,214.97,66.19,148.78,NA,6,5.05,7.45047619,0.5,70.24,-1.25625,22.22162409,3.5801568,4.215898421,0.635741621,0.805,1.44625,2.25125
X12_17N_N_N_2,B4,N17,2012,double,unwarming,0,2,0,unclipping,116.7,75.8,12.04,4.12,0.11,1.033,6.9,300,66,234,NA,7,13.75,9.71,0.5,70.24,-1.25625,17.53683233,3.795855722,5.444659806,1.648804084,1.241666667,1.845833333,3.0875
X12_17S_N_C_2,B4,S17,2012,double,unwarming,0,2,1,Clipping,84.5,53.27,14.9,2.8,0.08,0.679,6.64,308.22,102.29,205.93,NA,6,13.9,9.659047619,0.5,70.24,-1.25625,18.36931711,4.950256732,6.532993268,1.582736537,1.518333333,1.41625,2.934583333
X12_18N_H_N_0,B4,N18,2012,half,warming,1,0.5,0,unclipping,169.5,79.02,6.26,3.63,0.09,0.913,6.58,357,109,248,NA,3,5.6,8.222380952,0.5,70.24,-1.25625,21.12952321,2.599480346,3.094589297,0.495108952,1.71375,1.069583333,2.783333333
X12_18S_H_C_0,B4,S18,2012,half,warming,1,0.5,1,Clipping,66.6,46.13,9.18,2.87,0.071,0.614,6.83,310.51,66.74,243.77,NA,5,5.8,7.64952381,0.5,70.24,-1.25625,21.62672003,3.628184719,4.839390659,1.21120594,1.223333333,1.645416667,2.86875
X12_19N_N_N_1,B3,N19,2012,normal,unwarming,0,1,0,unclipping,94.7,51.18,29.54,4.38,0.102,0.944,6.04,323,183,140,NA,2,4.7,8.26047619,0.5,70.24,-1.25625,17.66184196,4.62119183,6.31317727,1.69198544,2.78625,1.084166667,3.870416667
X12_19S_N_C_1,B3,S19,2012,normal,unwarming,0,1,1,Clipping,50.2,33.02,18.79,3.45,0.073,0.591,6.2,196.58,0,196.58,NA,5,2.15,8.257142857,0.5,70.24,-1.25625,18.83614471,3.962943491,5.380295717,1.417352226,2.284305556,1.448194444,3.7325
X12_1N_H_N_1,B1,N01,2012,normal,warming,1,1,0,unclipping,67.1,47.98,11.76,3.8,0.072,0.567,6.25,216,5,211,NA,3,5.6,8.476666667,0.5,70.24,-1.25625,22.97902401,3.464671843,5.343086797,1.878414954,1.049166667,1.005833333,2.055
X12_1S_H_C_1,B1,S01,2012,normal,warming,1,1,1,Clipping,85,53.48,59.25,3.92,0.111,0.972,6,299.49,0,299.49,NA,3,4.5,7.838571429,0.5,70.24,-1.25625,21.83863795,3.61643224,3.752610531,0.136178291,-0.064166667,1.960833333,1.896666667
X12_20N_H_N_1,B3,N20,2012,normal,warming,1,1,0,unclipping,47.8,33.53,18.11,2.73,0.081,0.711,6.36,306,5,301,NA,3,7.4,10.18952381,0.5,70.24,-1.25625,15.72,2.074799323,2.846745554,0.771946231,2.020833333,1.368333333,3.389166667
X12_20S_H_C_1,B3,S20,2012,normal,warming,1,1,1,Clipping,65.8,45.96,10.57,3.36,0.095,0.89,6.41,361.54,97.7,263.84,NA,5,6.5,9.006666667,0.5,70.24,-1.25625,21.71423648,3.472653287,4.569852598,1.097199312,2.194166667,1.462916667,3.657083333
X12_21N_H_N_2,B3,N21,2012,double,warming,1,2,0,unclipping,31.9,21.71,23.53,2.7,0.074,0.631,6.01,267,5,262,NA,3,8.65,8.997619048,0.5,70.24,-1.25625,21.61509368,3.640814869,4.906995319,1.266180449,1.199166667,1.539583333,2.73875
X12_21S_H_C_2,B3,S21,2012,double,warming,1,2,1,Clipping,102.5,67.95,5.8,3.47,0.087,0.832,6.21,370.95,188.28,182.67,NA,5,3.6,7.989047619,0.5,70.24,-1.25625,20.85564842,2.959312052,4.190838583,1.231526531,2.47125,1.34,3.81125
X12_22N_H_N_2,B4,N22,2012,double,warming,1,2,0,unclipping,128,94.24,21.48,7.24,0.207,2.366,6.74,165,5,160,NA,1,9,9.458571429,0.5,70.24,-1.25625,20.05484415,3.759771206,5.308423145,1.548651939,1.3075,1.584583333,2.892083333
X12_22S_H_C_2,B4,S22,2012,double,warming,1,2,1,Clipping,59.3,39.28,4.29,3.44,0.086,0.836,6.5,571.23,268.52,302.71,NA,5,15,9.997142857,0.5,70.24,-1.25625,20.22282992,4.230302514,6.941900817,2.711598303,2.122083333,1.694166667,3.81625
X12_23N_N_N_1,B4,N23,2012,normal,unwarming,0,1,0,unclipping,100.8,73.69,27.2,6.65,0.157,1.723,5.95,233,5,228,NA,4,4.85,8.91952381,0.5,70.24,-1.25625,17.91165403,3.481514999,4.54674919,1.065234191,1.792083333,0.983333333,2.775416667
X12_23S_N_C_1,B4,S23,2012,normal,unwarming,0,1,1,Clipping,52.7,37.79,4.14,3.5,0.091,0.916,6.29,516.47,158.33,358.14,NA,7,6.75,8.486666667,0.5,70.24,-1.25625,18.01813161,3.649455075,5.762531576,2.113076501,1.940416667,0.582083333,2.5225
X12_24N_N_N_0,B4,N24,2012,half,unwarming,0,0.5,0,unclipping,211.2,95.91,16.66,3.81,0.115,1.294,6.37,340,91,249,NA,2,5.45,8.545238095,0.5,70.24,-1.25625,17.64464235,4.02579409,4.805487378,0.779693289,1.334166667,0.99875,2.332916667
X12_24S_N_C_0,B4,S24,2012,half,unwarming,0,0.5,1,Clipping,77,53.75,1.4,3.01,0.081,0.759,6.59,366.21,60.15,306.06,NA,6,8.7,8.377142857,0.5,70.24,-1.25625,18.47023902,3.883318705,4.719947367,0.836628662,1.420416667,1.53125,2.951666667
X12_2N_H_N_0,B1,N02,2012,half,warming,1,0.5,0,unclipping,92.7,61.64,23.16,3.69,0.124,1.166,6.27,255,54,201,NA,3,5.25,7.559047619,0.5,70.24,-1.25625,22.27621699,2.753626672,4.049431928,1.295805255,1.116666667,1.055,2.171666667
X12_2S_H_C_0,B1,S02,2012,half,warming,1,0.5,1,Clipping,47.3,26.53,55.75,2.7,0.071,0.525,6.18,213.53,118.89,94.64,NA,4,6.85,8.354761905,0.5,70.24,-1.25625,24.07520479,2.052595803,2.314610371,0.262014569,1.493333333,1.05,2.543333333
X12_3N_N_N_1,B1,N03,2012,normal,unwarming,0,1,0,unclipping,55,37.34,16.44,2.98,0.092,0.825,6.39,312,5,307,NA,4,5.25,8.435714286,0.5,70.24,-1.25625,19.85065152,4.922731776,6.612274597,1.689542821,1.634166667,0.983333333,2.6175
X12_3S_N_C_1,B1,S03,2012,normal,unwarming,0,1,1,Clipping,77,55.23,2.55,3.27,0.091,0.805,6.5,278.78,43.65,235.13,NA,7,5.6,9.135238095,0.5,70.24,-1.25625,18.73437434,3.184680259,5.751366199,2.56668594,1.426388889,1.171666667,2.598055556
X12_4N_H_N_2,B2,N04,2012,double,warming,1,2,0,unclipping,44,28.1,63.6,4.41,0.101,0.865,5.83,391,23,368,NA,4,7.05,9.494285714,0.5,70.24,-1.25625,22.7317086,3.719635936,4.981885779,1.262249842,2.438333333,0.905833333,3.344166667
X12_4S_H_C_2,B2,S04,2012,double,warming,1,2,1,Clipping,44.3,26.94,14.35,2.52,0.061,0.47,6.13,311.68,0,311.68,NA,6,5.95,7.464285714,0.5,70.24,-1.25625,22.14451592,3.664178383,5.271414483,1.607236101,1.872777778,1.288888889,3.161666667
X12_5N_H_N_0,B2,N05,2012,half,warming,1,0.5,0,unclipping,58.7,39.35,111.45,4.13,0.089,0.688,5.7,340,122,219,NA,2,5.2,7.836666667,0.5,70.24,-1.25625,25.27050931,2.631349684,3.867000912,1.235651227,1.729166667,0.9675,2.696666667
X12_5S_H_C_0,B2,S05,2012,half,warming,1,0.5,1,Clipping,64.8,46.55,6.27,2.99,0.088,0.797,6.37,212.09,52.32,159.77,NA,5,7.55,7.42952381,0.5,70.24,-1.25625,24.48043148,2.770974015,4.494496098,1.723522083,0.705,2.221666667,2.926666667
X12_6N_N_N_1,B2,N06,2012,normal,unwarming,0,1,0,unclipping,93.4,70.08,16.75,5.37,0.101,0.869,5.96,267,5,262,NA,4,10.65,9.388095238,0.5,70.24,-1.25625,19.19575798,3.821657282,5.848346942,2.02668966,2.415833333,0.26,2.675833333
X12_6S_N_C_1,B2,S06,2012,normal,unwarming,0,1,1,Clipping,50.4,31.46,5.89,3.62,0.078,0.621,6.34,386.58,0,386.58,NA,5,10.3,8.346190476,0.5,70.24,-1.25625,19.53942468,3.771726378,5.662784596,1.891058218,2.430833333,0.655833333,3.086666667
X12_7N_H_N_2,B1,N07,2012,double,warming,1,2,0,unclipping,89.3,64.68,29.89,5.7,0.148,1.511,6.47,295,5,290,NA,4,5.75,8.892380952,0.5,70.24,-1.25625,22.01831722,3.251711048,4.267368714,1.015657666,1.9175,0.906666667,2.824166667
X12_7S_H_C_2,B1,S07,2012,double,warming,1,2,1,Clipping,37.6,23.55,1.62,3.04,0.064,0.478,6.94,299.68,0,299.68,NA,4,6.5,10.57142857,0.5,70.24,-1.25625,22.18485243,5.219933142,8.426817431,3.206884289,1.554166667,1.885,3.439166667
X12_8N_N_N_0,B1,N08,2012,half,unwarming,0,0.5,0,unclipping,127.1,78.88,78.45,6.74,0.194,2.037,6.15,289,91,198,NA,5,6.3,9.063333333,0.5,70.24,-1.25625,19.52492149,3.39236872,4.03650609,0.64413737,2.029166667,0.565,2.594166667
X12_8S_N_C_0,B1,S08,2012,half,unwarming,0,0.5,1,Clipping,51.1,33.62,2.12,3,0.078,0.636,6,82.9,82.9,0,NA,4,3.6,8.701428571,0.5,70.24,-1.25625,19.95012896,3.932124632,4.565499315,0.633374683,1.8425,1.4625,3.305
X12_9N_N_N_2,B1,N09,2012,double,unwarming,0,2,0,unclipping,71.2,58.43,22.11,5.2,0.113,1.083,6.09,193,5,188,NA,2,7.6,10.9752381,0.5,70.24,-1.25625,19.81306955,3.993939933,4.421836613,0.42789668,-0.4975,3.284166667,2.786666667
X12_9S_N_C_2,B1,S09,2012,double,unwarming,0,2,1,Clipping,51.1,37.09,11.27,3.07,0.072,0.602,6.35,402.76,2.61,400.15,NA,4,4.9,9.89,0.5,70.24,-1.25625,19.29784413,4.190637237,5.966617365,1.775980128,1.624166667,2.165,3.789166667
X13_10N_H_N_1,B2,N10,2013,normal,warming,1,1,0,unclipping,39.1,36.78,3.74,2.24,0.072,0.572,7.01,243.4464192,28.56120695,214.8852123,NA,2,2.42,6.9,8.1,99.38,0.03527,19.3331177,3.786936636,4.881684628,1.094747992,1.539444444,1.218263889,2.757708333
X13_10S_H_C_1,B2,S10,2013,normal,warming,1,1,1,Clipping,50.8,37.44,2.85,3.9,0.108,1.062,6.73,199.37,0,199.37,NA,6,3.99,6.9225,8.1,99.38,0.03527,19.42714363,3.146688368,4.615870475,1.469182107,1.517175926,1.299212963,2.816388889
X13_11N_N_N_0,B2,N11,2013,half,unwarming,0,0.5,0,unclipping,54.2,33.52,1.9,4.01,0.078,0.652,6.62,84.95832468,40.9723092,43.98601548,NA,3,4.52,9.2575,8.1,99.38,0.03527,17.57948675,2.981466778,5.606303125,2.624836346,1.169166667,1.783055556,2.952222222
X13_11S_N_C_0,B2,S11,2013,half,unwarming,0,0.5,1,Clipping,73.2,52.28,1.35,3.04,0.091,0.797,6.58,226.05,0,226.05,NA,5,3.99,8.1475,8.1,99.38,0.03527,17.01247098,3.776112812,4.308515773,0.532402961,1.786527778,1.24375,3.030277778
X13_12N_N_N_2,B2,N12,2013,double,unwarming,0,2,0,unclipping,67.3,43.59,1.81,3.94,0.087,0.762,6.54,116.6559436,28.56120695,88.09473664,NA,2,5.74,10.5525,8.1,99.38,0.03527,16.16015343,4.507311651,5.16098975,0.653678098,1.682083333,1.130902778,2.812986111
X13_12S_N_C_2,B2,S12,2013,double,unwarming,0,2,1,Clipping,87.2,76.86,1.35,3.93,0.087,0.849,6.32,260.89,0,260.89,NA,9,8.72,11.2175,8.1,99.38,0.03527,16.16015343,3.605062881,5.049285095,1.444222214,2.347847222,0.750277778,3.098125
X13_13N_N_N_0,B3,N13,2013,half,unwarming,0,0.5,0,unclipping,63.7,44.23,1.93,3.68,0.112,1.05,6.36,275.1440381,121.6444738,153.4995643,NA,5,1.82,8.4975,8.1,99.38,0.03527,16.00826855,2.999822466,4.28650423,1.286681764,0.916458333,1.491770833,2.408229167
X13_13S_N_C_0,B3,S13,2013,half,unwarming,0,0.5,1,Clipping,63,43.55,2.26,4.93,0.108,1.028,6.51,544.79,22.53,522.26,NA,5,1.96,8.14625,8.1,99.38,0.03527,16.27497255,3.568138388,4.705349964,1.137211577,1.306909722,1.599756944,2.906666667
X13_14N_N_N_2,B3,N14,2013,double,unwarming,0,2,0,unclipping,51.9,38.53,1.5,3.09,0.078,0.657,6.69,235.5220145,28.56120695,206.9608076,NA,5,3.47,8.35375,8.1,99.38,0.03527,15.95355201,4.147401223,5.248939627,1.101538404,1.427847222,1.704097222,3.131944444
X13_14S_N_C_2,B3,S14,2013,double,unwarming,0,2,1,Clipping,75,51.11,0.72,3.52,0.071,0.563,6.65,679.28,649.96,29.32,NA,5,8.3,10.1625,8.1,99.38,0.03527,19.16008704,4.756953952,6.501016419,1.744062467,1.476666667,1.653993056,3.130659722
X13_15N_H_N_0,B3,N15,2013,half,warming,1,0.5,0,unclipping,44.3,24.88,6.93,4.61,0.09,0.879,6.08,293.6343158,196.1110873,97.52322855,NA,9,2.31,4.57,8.1,99.38,0.03527,18.72761745,2.900254252,3.689606668,0.789352416,0.608576389,1.830798611,2.439375
X13_15S_H_C_0,B3,S15,2013,half,warming,1,0.5,1,Clipping,53.9,28.57,3.26,3.8,0.111,1.057,6.28,434.24,195.25,238.99,NA,7,0,5.93625,8.1,99.38,0.03527,20.34756334,3.067976076,3.380308823,0.312332746,1.303055556,1.427395833,2.730451389
X13_16N_H_N_1,B4,N16,2013,normal,warming,1,1,0,unclipping,42.5,27.36,10.67,3.77,0.075,0.625,6.16,304.2001888,160.9462976,143.2538912,NA,3,0,7.705,8.1,99.38,0.03527,20.98908828,4.381867439,6.034655958,1.652788519,-0.025347222,2.458680556,2.433333333
X13_16S_H_C_1,B4,S16,2013,normal,warming,1,1,1,Clipping,51.4,36.29,5.74,2.91,0.092,0.84,6.21,469.28,423.31,45.97,NA,5,1.82,7.96125,8.1,99.38,0.03527,19.37142741,4.317853507,6.480553605,2.162700098,1.340416667,0.885520833,2.2259375
X13_17N_N_N_2,B4,N17,2013,double,unwarming,0,2,0,unclipping,50.7,26.1,0.8,2.52,0.078,0.654,6.37,364.9539584,28.56120695,336.3927514,NA,6,4.42,11.8475,8.1,99.38,0.03527,15.99258654,5.964979802,6.483381782,0.51840198,1.680972222,1.941319444,3.622291667
X13_17S_N_C_2,B4,S17,2013,double,unwarming,0,2,1,Clipping,53.5,36.15,0.88,2.58,0.075,0.664,6.49,510.58,291.47,219.11,NA,7,3.3,10.82,8.1,99.38,0.03527,16.41370993,5.144891516,9.286024042,4.141132526,1.119027778,1.735520833,2.854548611
X13_18N_H_N_0,B4,N18,2013,half,warming,1,0.5,0,unclipping,47.1,32.51,1.95,3.84,0.086,0.849,6.25,362.3124902,287.1258371,75.18665305,NA,4,2.35,5.1775,8.1,99.38,0.03527,18.278366,3.025422138,3.862325324,0.836903186,0.903645833,1.966631944,2.870277778
X13_18S_H_C_0,B4,S18,2013,half,warming,1,0.5,1,Clipping,47.6,29.92,1.28,2.27,0.075,0.658,6.34,420.84,197.88,222.96,NA,6,1.23,5.6925,8.1,99.38,0.03527,20.16873354,3.995088961,4.228701245,0.233612284,1.206944444,1.483784722,2.690729167
X13_19N_N_N_1,B3,N19,2013,normal,unwarming,0,1,0,unclipping,40.7,31.81,3.75,3.37,0.106,0.942,6.26,150.9950307,131.987059,19.00797173,NA,4,2.7,7.745,8.1,99.38,0.03527,15.94106799,3.994096065,5.521972925,1.527876859,1.375520833,2.132847222,3.508368056
X13_19S_N_C_1,B3,S19,2013,normal,unwarming,0,1,1,Clipping,70.4,48.2,0.97,3.67,0.121,1.142,6.3,530.8,13.26,517.54,NA,8,3.08,9.26125,8.1,99.38,0.03527,16.69155281,3.086264137,4.267321292,1.181057155,2.252025463,1.322349537,3.574375
X13_1N_H_N_1,B1,N01,2013,normal,warming,1,1,0,unclipping,46.1,37.01,25.98,2.6,0.094,0.74,6.03,82.31685643,28.56120695,53.75564948,NA,7,3.88,8.2475,8.1,99.38,0.03527,17.82073343,2.147096192,3.890682608,1.743586416,1.136597222,0.781319444,1.917916667
X13_1S_H_C_1,B1,S01,2013,normal,warming,1,1,1,Clipping,48.8,34.56,2.03,2.38,0.075,0.64,6.56,170.58,20.42,150.16,NA,6,3,7.76625,8.1,99.38,0.03527,19.56944881,3.279790572,4.516168271,1.236377698,-0.307847222,2.149236111,1.841388889
X13_20N_H_N_1,B3,N20,2013,normal,warming,1,1,0,unclipping,56,42.24,5.7,3.72,0.121,1.184,6.16,193.2585226,100.9593034,92.29921923,NA,4,5.49,8.5925,8.1,99.38,0.03527,17.8,2.954401992,4.429536572,1.47513458,1.184791667,1.827638889,3.012430556
X13_20S_H_C_1,B3,S20,2013,normal,warming,1,1,1,Clipping,82.6,47.01,2.48,3.75,0.103,0.957,6.14,467.81,193.23,274.58,NA,4,4.11,8.22875,8.1,99.38,0.03527,19.35782834,3.180426477,3.410641054,0.230214578,1.975347222,1.158576389,3.133923611
X13_21N_H_N_2,B3,N21,2013,double,warming,1,2,0,unclipping,69.1,51.25,5.35,3.45,0.103,0.945,6.24,275.1440381,146.4666783,128.6773598,NA,4,4.94,7.4925,8.1,99.38,0.03527,19.9110076,3.160437611,3.296509907,0.136072297,0.775347222,2.342881944,3.118229167
X13_21S_H_C_2,B3,S21,2013,double,warming,1,2,1,Clipping,100.5,75.86,4.31,5.27,0.129,1.264,6.21,777.11,718.83,58.28,NA,5,7.39,8.045,8.1,99.38,0.03527,18.72727067,3.284659949,4.197074802,0.912414853,1.981770833,1.350833333,3.332604167
X13_22N_H_N_2,B4,N22,2013,double,warming,1,2,0,unclipping,87.1,58.62,2.62,3.66,0.081,0.714,6.34,169.4853084,28.56120695,140.9241015,NA,4,2.59,7.725,8.1,99.38,0.03527,18.6400585,3.944962263,5.211825972,1.266863709,0.900208333,2.222465278,3.122673611
X13_22S_H_C_2,B4,S22,2013,double,warming,1,2,1,Clipping,61.1,36.86,1.11,4.99,0.1,0.876,6.45,431.16,41.72,389.44,NA,7,2.24,7.97625,8.1,99.38,0.03527,19.1723843,2.923980298,4.447920484,1.523940186,2.267673611,1.367013889,3.6346875
X13_23N_N_N_1,B4,N23,2013,normal,unwarming,0,1,0,unclipping,101.9,80.01,1.65,3.15,0.113,1.16,6.28,254.0122922,28.56120695,225.4510853,NA,5,2.98,6.71875,8.1,99.38,0.03527,16.42034861,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389
X13_23S_N_C_1,B4,S23,2013,normal,unwarming,0,1,1,Clipping,73.3,46.81,1.51,4.42,0.126,1.348,6.23,351.25,58.34,292.91,NA,7,3.47,8.2725,8.1,99.38,0.03527,16.56001275,2.846018234,4.487041504,1.64102327,1.905868056,0.839340278,2.745208333
X13_24N_N_N_0,B4,N24,2013,half,unwarming,0,0.5,0,unclipping,115.3,93.5,2.71,3.57,0.102,0.897,7.04,335.8978077,251.9610474,83.93676032,NA,6,4.13,10.36,8.1,99.38,0.03527,16.164878,2.908807704,4.990119853,2.081312149,0.703263889,2.0828125,2.786076389
X13_24S_N_C_0,B4,S24,2013,half,unwarming,0,0.5,1,Clipping,63.6,51.24,0.99,3.72,0.092,0.899,6.75,398.74,282.04,116.7,NA,6,4.36,10.3475,8.1,99.38,0.03527,16.41133757,4.827763511,6.975665437,2.147901926,1.744340278,1.197465278,2.941805556
X13_2N_H_N_0,B1,N02,2013,half,warming,1,0.5,0,unclipping,47.8,43.83,9.89,3.08,0.083,0.682,6.29,111.3730071,49.24637736,62.12662974,NA,4,7.63,7.84875,8.1,99.38,0.03527,17.80196511,4.075972478,6.123797639,2.047825161,1.454722222,1.314583333,2.769305556
X13_2S_H_C_0,B1,S02,2013,half,warming,1,0.5,1,Clipping,66.3,45.8,3.44,2.35,0.084,0.655,6.45,293.73,103.75,189.98,NA,5,5.06,7.43625,8.1,99.38,0.03527,19.37230116,2.61578153,2.964850219,0.349068689,1.005277778,1.298333333,2.303611111
X13_3N_N_N_1,B1,N03,2013,normal,unwarming,0,1,0,unclipping,47.5,40.08,3.52,2.54,0.091,0.772,6.41,82.31685643,28.56120695,53.75564948,NA,7,6.42,10.685,8.1,99.38,0.03527,16.68461503,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333
X13_3S_N_C_1,B1,S03,2013,normal,unwarming,0,1,1,Clipping,47.7,33.48,0.79,2.06,0.075,0.567,6.48,219.2,132.88,86.32,NA,6,5.14,12.64875,8.1,99.38,0.03527,16.15208432,2.972295709,4.740751446,1.768455737,1.397199074,1.232638889,2.629837963
X13_4N_H_N_2,B2,N04,2013,double,warming,1,2,0,unclipping,56.2,41.66,3.14,4.57,0.093,0.842,6.32,224.9561415,28.56120695,196.3949346,NA,5,3.87,8.55,8.1,99.38,0.03527,18.9379227,4.073923214,6.210046867,2.136123653,2.089861111,1.032986111,3.122847222
X13_4S_H_C_2,B2,S04,2013,double,warming,1,2,1,Clipping,47.7,33.42,2.9,3.79,0.075,0.62,6.34,209.96,20.43,189.53,NA,5,5.14,8.65125,8.1,99.38,0.03527,20.0657345,2.84557033,4.580599369,1.735029039,1.226342593,1.615462963,2.841805556
X13_5N_H_N_0,B2,N05,2013,half,warming,1,0.5,0,unclipping,62.4,37.6,7.34,3.14,0.094,0.85,6.02,217.0317368,150.6037124,66.42802442,NA,5,4.56,8.1925,8.1,99.38,0.03527,20.0998065,2.799687669,4.103367952,1.303680282,1.045763889,1.464791667,2.510555556
X13_5S_H_C_0,B2,S05,2013,half,warming,1,0.5,1,Clipping,77.2,48.93,5.88,3.2,0.126,1.17,6.18,298.86,89.11,209.75,NA,7,4.93,8.5075,8.1,99.38,0.03527,20.50693558,2.741659588,3.870611034,1.128951446,0.455416667,1.738472222,2.193888889
X13_6N_N_N_1,B2,N06,2013,normal,unwarming,0,1,0,unclipping,44.8,31.31,6.23,2.9,0.091,0.716,6.17,166.8438402,38.90379216,127.940048,NA,4,5.17,10.1575,8.1,99.38,0.03527,16.71905034,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444
X13_6S_N_C_1,B2,S06,2013,normal,unwarming,0,1,1,Clipping,60.3,49.14,2.48,4.64,0.105,0.955,6.06,435.86,197.1,238.76,NA,3,3.68,10.0425,8.1,99.38,0.03527,17.12281794,3.081389431,5.177870579,2.096481148,2.044236111,0.633819444,2.678055556
